event.deviceCustomNumber1,set.event.message
0,The request completed successfully.
9001,DNS server unable to interpret format.
9002,DNS server failure.
9003,DNS name does not exist.
9004,DNS request not supported by name server.
9005,DNS operation refused.
9006,"DNS name that ought not exist, does exist."
9007,"DNS RR set that ought not exist, does exist."
9008,"DNS RR set that ought to exist, does not exist."
9009,DNS server not authoritative for zone.
9010,DNS name in update or prereq is not in zone.
9016,DNS signature failed to verify.
9017,DNS bad key.
9018,DNS signature validity expired.
9101,Only the DNS server acting as the key master for the zone may perform this operation.
9102,This operation is not allowed on a zone that is signed or has signing keys.
9103,NSEC3 is not compatible with the RSA-SHA-1 algorithm. Choose a different algorithm or use NSEC.
9104,The zone does not have enough signing keys. There must be at least one key signing key (KSK) and at least one zone signing key (ZSK).
9105,The specified algorithm is not supported.
9106,The specified key size is not supported.
9107,One or more of the signing keys for a zone are not accessible to the DNS server. Zone signing will not be operational until this error is resolved.
9108,The specified key storage provider does not support DPAPI++ data protection. Zone signing will not be operational until this error is resolved.
9109,An unexpected DPAPI++ error was encountered. Zone signing will not be operational until this error is resolved.
9110,An unexpected crypto error was encountered. Zone signing may not be operational until this error is resolved.
9111,The DNS server encountered a signing key with an unknown version. Zone signing will not be operational until this error is resolved.
9112,The specified key service provider cannot be opened by the DNS server.
9113,The DNS server cannot accept any more signing keys with the specified algorithm and KSK flag value for this zone.
9114,The specified rollover period is invalid.
9115,The specified initial rollover offset is invalid.
9116,The specified signing key is already in process of rolling over keys.
9117,The specified signing key does not have a standby key to revoke.
9118,This operation is not allowed on a zone signing key (ZSK).
9119,This operation is not allowed on an active signing key.
9120,The specified signing key is already queued for rollover.
9121,This operation is not allowed on an unsigned zone.
9122,This operation could not be completed because the DNS server listed as the current key master for this zone is down or misconfigured. Resolve the problem on the current key master for this zone or use another DNS server to seize the key master role.
9123,The specified signature validity period is invalid.
9124,The specified NSEC3 iteration count is higher than allowed by the minimum key length used in the zone.
9125,This operation could not be completed because the DNS server has been configured with DNSSEC features disabled. Enable DNSSEC on the DNS server.
9126,This operation could not be completed because the XML stream received is empty or syntactically invalid.
9127,"This operation completed, but no trust anchors were added because all of the trust anchors received were either invalid, unsupported, expired, or would not become valid in less than 30 days."
9128,The specified signing key is not waiting for parental DS update.
9129,"Hash collision detected during NSEC3 signing. Specify a different user-provided salt, or use a randomly generated salt, and attempt to sign the zone again."
9130,NSEC is not compatible with the NSEC3-RSA-SHA-1 algorithm. Choose a different algorithm or use NSEC3.
9501,No records found for given DNS query.
9502,Bad DNS packet.
9503,No DNS packet.
9504,"DNS error, check rcode."
9505,Unsecured DNS packet.
9506,DNS query request is pending.
9551,Invalid DNS type.
9552,Invalid IP address.
9553,Invalid property.
9554,Try DNS operation again later.
9555,Record for given name and type is not unique.
9556,DNS name does not comply with RFC specifications.
9557,DNS name is a fully-qualified DNS name.
9558,DNS name is dotted (multi-label).
9559,DNS name is a single-part name.
9560,DNS name contains an invalid character.
9561,DNS name is entirely numeric.
9562,The operation requested is not permitted on a DNS root server.
9563,The record could not be created because this part of the DNS namespace has been delegated to another server.
9564,The DNS server could not find a set of root hints.
9565,The DNS server found root hints but they were not consistent across all adapters.
9566,The specified value is too small for this parameter.
9567,The specified value is too large for this parameter.
9568,This operation is not allowed while the DNS server is loading zones in the background. Please try again later.
9569,The operation requested is not permitted on against a DNS server running on a read-only DC.
9570,No data is allowed to exist underneath a DNAME record.
9571,This operation requires credentials delegation.
9572,Name resolution policy table has been corrupted. DNS resolution will fail until it is fixed. Contact your network administrator.
9601,DNS zone does not exist.
9602,DNS zone information not available.
9603,Invalid operation for DNS zone.
9604,Invalid DNS zone configuration.
9605,DNS zone has no start of authority (SOA) record.
9606,DNS zone has no Name Server (NS) record.
9607,DNS zone is locked.
9608,DNS zone creation failed.
9609,DNS zone already exists.
9610,DNS automatic zone already exists.
9611,Invalid DNS zone type.
9612,Secondary DNS zone requires master IP address.
9613,DNS zone not secondary.
9614,Need secondary IP address.
9615,WINS initialization failed.
9616,Need WINS servers.
9617,NBTSTAT initialization call failed.
9618,Invalid delete of start of authority (SOA).
9619,A conditional forwarding zone already exists for that name.
9620,This zone must be configured with one or more master DNS server IP addresses.
9621,The operation cannot be performed because this zone is shut down.
9622,This operation cannot be performed because the zone is currently being signed. Please try again later.
9651,Primary DNS zone requires datafile.
9652,Invalid datafile name for DNS zone.
9653,Failed to open datafile for DNS zone.
9654,Failed to write datafile for DNS zone.
9655,Failure while reading datafile for DNS zone.
9701,DNS record does not exist.
9702,DNS record format error.
9703,Node creation failure in DNS.
9704,Unknown DNS record type.
9705,DNS record timed out.
9706,Name not in DNS zone.
9707,CNAME loop detected.
9708,Node is a CNAME DNS record.
9709,A CNAME record already exists for given name.
9710,Record only at DNS zone root.
9711,DNS record already exists.
9712,Secondary DNS zone data error.
9713,Could not create DNS cache data.
9714,DNS name does not exist.
9715,Could not create pointer (PTR) record.
9716,DNS domain was undeleted.
9717,The directory service is unavailable.
9718,DNS zone already exists in the directory service.
9719,DNS server not creating or reading the boot file for the directory service integrated DNS zone.
9720,Node is a DNAME DNS record.
9721,A DNAME record already exists for given name.
9722,An alias loop has been detected with either CNAME or DNAME records.
9751,DNS AXFR (zone transfer) complete.
9752,DNS zone transfer failed.
9753,Added local WINS server.
9801,Secure update call needs to continue update request.
9851,TCP/IP network protocol not installed.
9852,No DNS servers configured for local system.
9901,The specified directory partition does not exist.
9902,The specified directory partition already exists.
9903,This DNS server is not enlisted in the specified directory partition.
9904,This DNS server is already enlisted in the specified directory partition.
9905,The directory partition is not available at this time. Please wait a few minutes and try again.
9906,The operation failed because the domain naming master FSMO role could not be reached. The domain controller holding the domain naming master FSMO role is down or unable to service the request or is not running Windows Server 2003 or later.
